epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.292,1.47734,3.96066,1.71697,0.66965,0.05243,0.02874,0.01134,1.6881,3.42104,1.93109,0.0700196,0.00333115,0.00333115
2,619.95,1.41186,3.32862,1.70286,0.37399,0.07344,0.03724,0.01595,1.72241,3.18017,2.02909,0.0399866,0.0066315,0.0066315
3,909.685,1.47034,3.16131,1.77172,0.199,0.09026,0.04252,0.0182,1.87777,3.47391,2.19385,0.00992064,0.00989884,0.00989884
4,1188.96,1.49647,3.08749,1.80826,0.22743,0.11223,0.05878,0.02658,1.76916,3.07559,2.05704,0.0098515,0.0098515,0.0098515
5,1463.41,1.41647,2.94642,1.74848,0.18334,0.11746,0.05134,0.02227,1.71475,3.04526,2.01353,0.009802,0.009802,0.009802
6,1743.23,1.36929,2.84209,1.70979,0.40367,0.09085,0.06659,0.03296,1.5638,2.83699,1.86891,0.0097525,0.0097525,0.0097525
7,2022.88,1.33261,2.76596,1.68277,0.27795,0.10034,0.08127,0.04225,1.56859,2.75329,1.85905,0.009703,0.009703,0.009703
8,2297.88,1.30378,2.69401,1.65806,0.18096,0.08985,0.07113,0.03944,1.50929,2.66857,1.79726,0.0096535,0.0096535,0.0096535
9,2577.54,1.26806,2.65739,1.63077,0.24846,0.11095,0.07822,0.04234,1.48255,2.7142,1.79685,0.009604,0.009604,0.009604
10,2857.43,1.25399,2.61632,1.61926,0.47751,0.13493,0.10941,0.06103,1.39496,2.54641,1.71471,0.0095545,0.0095545,0.0095545
11,3132.93,1.22773,2.56828,1.60071,0.39339,0.10999,0.10005,0.05788,1.4013,2.54948,1.69254,0.009505,0.009505,0.009505
12,3413.2,1.2173,2.53541,1.59084,0.47845,0.15287,0.10818,0.06066,1.36791,2.53154,1.68538,0.0094555,0.0094555,0.0094555
13,3693.09,1.1981,2.5124,1.58122,0.43323,0.13162,0.10587,0.06173,1.38434,2.51544,1.67956,0.009406,0.009406,0.009406
14,3968.68,1.16585,2.46634,1.5585,0.38804,0.14977,0.10968,0.06427,1.33432,2.47563,1.64559,0.0093565,0.0093565,0.0093565
15,4248.73,1.16775,2.43674,1.55864,0.43747,0.16446,0.13989,0.07909,1.32656,2.37155,1.64894,0.009307,0.009307,0.009307
16,4528.57,1.14311,2.40456,1.53931,0.4755,0.16765,0.14123,0.08549,1.31083,2.32463,1.62801,0.0092575,0.0092575,0.0092575
17,4803.47,1.13112,2.36958,1.52527,0.42552,0.17742,0.15484,0.08728,1.26359,2.34528,1.58856,0.009208,0.009208,0.009208
18,5083.51,1.13364,2.36354,1.53349,0.49814,0.20801,0.17435,0.1112,1.24089,2.25326,1.56074,0.0091585,0.0091585,0.0091585
19,5363.74,1.12138,2.33171,1.51755,0.4672,0.23247,0.18436,0.11204,1.24205,2.23673,1.5637,0.009109,0.009109,0.009109
20,5637.41,1.10373,2.30271,1.50676,0.50471,0.21339,0.17155,0.10389,1.21443,2.1785,1.54748,0.0090595,0.0090595,0.0090595
21,5917.28,1.10288,2.27224,1.5091,0.58012,0.16728,0.182,0.10438,1.22939,2.26714,1.56524,0.00901,0.00901,0.00901
