epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.15,1.4839,3.95666,1.72758,0.60757,0.05157,0.03265,0.01335,1.73708,3.38485,1.96486,0.0700196,0.00333115,0.00333115
2,222.406,1.40512,3.31487,1.7012,0.56333,0.07213,0.05708,0.02581,1.68982,3.02268,1.98383,0.0399866,0.0066315,0.0066315
3,326.136,1.47385,3.15878,1.77595,0.18054,0.07555,0.05559,0.02763,1.94651,3.26589,2.21439,0.00992064,0.00989884,0.00989884
4,429.814,1.4913,3.08697,1.80813,0.46326,0.06035,0.04753,0.02114,1.76146,3.05213,2.04954,0.0098515,0.0098515,0.0098515
5,530.391,1.42222,2.9521,1.75846,0.18318,0.08258,0.055,0.02469,1.71248,3.05865,1.98325,0.009802,0.009802,0.009802
6,633.371,1.3676,2.83425,1.71049,0.31025,0.10715,0.07801,0.03941,1.59444,2.82971,1.9104,0.0097525,0.0097525,0.0097525
7,737.647,1.33096,2.76297,1.68562,0.3629,0.10752,0.09156,0.04847,1.53792,2.90083,1.84566,0.009703,0.009703,0.009703
8,840.762,1.29189,2.69186,1.65506,0.18007,0.12497,0.08721,0.04605,1.48068,2.67332,1.79832,0.0096535,0.0096535,0.0096535
9,943.123,1.26161,2.64678,1.63464,0.35126,0.09984,0.06992,0.03648,1.54106,2.70791,1.82528,0.009604,0.009604,0.009604
10,1047.44,1.2493,2.61098,1.62496,0.38359,0.11039,0.09421,0.05469,1.44388,2.63119,1.75236,0.0095545,0.0095545,0.0095545
11,1151.75,1.22299,2.55413,1.60085,0.41112,0.17204,0.11367,0.06604,1.41245,2.63027,1.70723,0.009505,0.009505,0.009505
12,1253.37,1.20415,2.51934,1.58247,0.50234,0.12111,0.1107,0.06135,1.35996,2.49373,1.67463,0.0094555,0.0094555,0.0094555
13,1356.19,1.19675,2.49484,1.58299,0.4096,0.14857,0.13694,0.07792,1.35388,2.48825,1.68328,0.009406,0.009406,0.009406
14,1459.64,1.16514,2.44677,1.56517,0.39024,0.14564,0.10212,0.05805,1.36219,2.49725,1.68275,0.0093565,0.0093565,0.0093565
15,1562.09,1.16178,2.42517,1.55962,0.48973,0.1309,0.14126,0.08304,1.3448,2.39974,1.6711,0.009307,0.009307,0.009307
16,1664.6,1.14978,2.39664,1.54411,0.53837,0.15853,0.16189,0.09375,1.34595,2.34395,1.6362,0.0092575,0.0092575,0.0092575
17,1765.55,1.13123,2.36883,1.53036,0.41662,0.177,0.14838,0.08908,1.31084,2.32252,1.61651,0.009208,0.009208,0.009208
18,1864.98,1.13262,2.36361,1.53249,0.4775,0.19206,0.16939,0.10439,1.26612,2.25157,1.59816,0.0091585,0.0091585,0.0091585
19,1966.21,1.12019,2.33057,1.52118,0.49908,0.20734,0.16209,0.09738,1.2906,2.30198,1.59884,0.009109,0.009109,0.009109
20,2067.79,1.10183,2.30381,1.51057,0.55026,0.18641,0.16995,0.10516,1.24597,2.24297,1.56755,0.0090595,0.0090595,0.0090595
21,2171.65,1.10084,2.2789,1.50767,0.48477,0.17207,0.148,0.09036,1.24104,2.29323,1.5665,0.00901,0.00901,0.00901
22,2273.92,1.08956,2.24953,1.49771,0.41057,0.2295,0.20635,0.13188,1.19352,2.13549,1.53315,0.0089605,0.0089605,0.0089605
23,2375.76,1.08339,2.2173,1.49042,0.47901,0.25276,0.22123,0.13402,1.20055,2.17538,1.52078,0.008911,0.008911,0.008911
24,2477.78,1.07739,2.19842,1.48666,0.59123,0.22899,0.21411,0.13444,1.18574,2.05993,1.51947,0.0088615,0.0088615,0.0088615
25,2580.57,1.06431,2.18757,1.47663,0.54725,0.25568,0.22311,0.13964,1.19275,2.053,1.51928,0.008812,0.008812,0.008812
26,2681.44,1.06171,2.1605,1.47597,0.58829,0.29485,0.263,0.1633,1.15635,2.04486,1.48454,0.0087625,0.0087625,0.0087625
27,2783.41,1.04725,2.13323,1.46661,0.66028,0.24043,0.27124,0.16666,1.16215,2.02544,1.48791,0.008713,0.008713,0.008713
28,2886.95,1.04537,2.11785,1.46454,0.61817,0.2514,0.27949,0.18194,1.1268,1.99992,1.47166,0.0086635,0.0086635,0.0086635
29,2989.45,1.03851,2.09814,1.45737,0.5474,0.34026,0.28595,0.18118,1.13262,1.96573,1.46208,0.008614,0.008614,0.008614
30,3090.24,1.02002,2.07273,1.44387,0.50944,0.35455,0.35589,0.24461,1.11245,1.91419,1.45073,0.0085645,0.0085645,0.0085645
31,3193.15,1.01792,2.08108,1.44354,0.58318,0.2812,0.29868,0.1943,1.09731,1.90504,1.44128,0.008515,0.008515,0.008515
32,3295.54,1.01405,2.05612,1.44179,0.57878,0.30044,0.31435,0.20909,1.08127,1.88729,1.42665,0.0084655,0.0084655,0.0084655
33,3396.32,1.01339,2.03127,1.43862,0.56184,0.33921,0.33059,0.22121,1.07457,1.86473,1.4125,0.008416,0.008416,0.008416
34,3499.1,1.01229,2.02219,1.43854,0.57886,0.33668,0.33766,0.21252,1.06505,1.8444,1.40129,0.0083665,0.0083665,0.0083665
35,3601.88,1.00666,2.01389,1.43131,0.63786,0.37131,0.36336,0.25128,1.05828,1.78414,1.40159,0.008317,0.008317,0.008317
36,3703.72,0.99137,1.98272,1.42104,0.57213,0.33541,0.34398,0.22754,1.06759,1.82841,1.41884,0.0082675,0.0082675,0.0082675
37,3804.83,0.98582,1.97551,1.41887,0.63389,0.32755,0.3472,0.23893,1.04794,1.81288,1.39801,0.008218,0.008218,0.008218
