epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.29,1.48925,3.92058,1.73025,0.5225,0.05877,0.03289,0.01225,1.75081,3.31491,2.02479,0.0700196,0.00333115,0.00333115
2,306.267,1.40974,3.29944,1.70477,0.29568,0.06601,0.03584,0.01593,1.71332,3.0948,2.02624,0.0399866,0.0066315,0.0066315
3,610.8,1.47195,3.15555,1.7711,0.2196,0.06245,0.03638,0.01434,1.89039,3.31473,2.17949,0.00992064,0.00989884,0.00989884
4,915.27,1.50066,3.08255,1.8038,0.38456,0.06305,0.04494,0.02018,1.77245,3.06043,2.04026,0.0098515,0.0098515,0.0098515
5,1219.93,1.41873,2.94625,1.7486,0.25695,0.08612,0.0538,0.02412,1.68474,2.95822,1.97502,0.009802,0.009802,0.009802
6,1523.38,1.37052,2.83772,1.71346,0.25847,0.10975,0.08091,0.04271,1.54836,2.78877,1.88774,0.0097525,0.0097525,0.0097525
7,1828.51,1.32725,2.75377,1.67497,0.46577,0.08398,0.05204,0.02484,1.58996,3.03107,1.89275,0.009703,0.009703,0.009703
8,2131.66,1.30316,2.69714,1.66285,0.3367,0.13386,0.08082,0.04065,1.54517,2.76489,1.84123,0.0096535,0.0096535,0.0096535
9,2434.99,1.26566,2.64934,1.63239,0.16805,0.10904,0.06567,0.03635,1.48484,2.73451,1.77488,0.009604,0.009604,0.009604
10,2737.86,1.25409,2.61062,1.62234,0.29213,0.11843,0.09471,0.05504,1.40594,2.61945,1.72962,0.0095545,0.0095545,0.0095545
11,2900.65,1.22324,2.5591,1.59673,0.41973,0.14794,0.11528,0.06965,1.38301,2.5141,1.70702,0.009505,0.009505,0.009505
12,3044.53,1.21124,2.52744,1.58528,0.54008,0.15284,0.12679,0.072,1.36932,2.50047,1.67434,0.0094555,0.0094555,0.0094555
13,3187.95,1.20111,2.50397,1.57997,0.37644,0.16676,0.10845,0.06365,1.35664,2.54895,1.69037,0.009406,0.009406,0.009406
14,3332.25,1.16327,2.45255,1.56042,0.47064,0.16646,0.13433,0.08172,1.32028,2.38097,1.64482,0.0093565,0.0093565,0.0093565
15,3473.95,1.16646,2.42312,1.55653,0.40282,0.1556,0.12407,0.07438,1.28732,2.75738,1.60885,0.009307,0.009307,0.009307
16,3618.22,1.14281,2.38756,1.53634,0.46732,0.16096,0.15549,0.09642,1.32687,2.37417,1.62992,0.0092575,0.0092575,0.0092575
17,3764.21,1.12962,2.35622,1.52346,0.40065,0.16051,0.13839,0.08375,1.27394,2.3272,1.58692,0.009208,0.009208,0.009208
18,4055.84,1.12953,2.36058,1.52373,0.5109,0.17728,0.15755,0.09771,1.2763,2.2428,1.59974,0.0091585,0.0091585,0.0091585
19,4362.41,1.12177,2.33342,1.51871,0.62329,0.18485,0.18764,0.10549,1.26208,2.27313,1.56517,0.009109,0.009109,0.009109
20,4670.76,1.10325,2.29597,1.50729,0.48811,0.21939,0.20516,0.1182,1.21713,2.23711,1.559,0.0090595,0.0090595,0.0090595
21,4919.41,1.10094,2.27248,1.50679,0.48774,0.19561,0.18441,0.11441,1.23244,2.21536,1.55722,0.00901,0.00901,0.00901
22,5202.8,1.08185,2.24758,1.49263,0.4156,0.22809,0.1947,0.12053,1.1965,2.12643,1.53786,0.0089605,0.0089605,0.0089605
23,5430.84,1.08583,2.22236,1.49344,0.54617,0.25081,0.27335,0.15779,1.1792,2.12417,1.50853,0.008911,0.008911,0.008911
24,5738.08,1.07627,2.20108,1.48633,0.58433,0.27044,0.25122,0.15648,1.17469,2.1179,1.51667,0.0088615,0.0088615,0.0088615
25,5979.09,1.05825,2.17399,1.47322,0.56582,0.29991,0.28389,0.18268,1.15639,2.02503,1.50234,0.008812,0.008812,0.008812
26,6124.96,1.0613,2.14858,1.47161,0.60941,0.23513,0.27419,0.16673,1.14148,2.03985,1.48825,0.0087625,0.0087625,0.0087625
27,6270.95,1.03968,2.12369,1.45655,0.60778,0.26662,0.29913,0.2026,1.14537,1.97755,1.4914,0.008713,0.008713,0.008713
28,6413.38,1.03974,2.11818,1.45882,0.60779,0.29992,0.29686,0.19372,1.12946,1.99841,1.47194,0.0086635,0.0086635,0.0086635
29,6560.1,1.0373,2.09327,1.45761,0.53588,0.33584,0.30903,0.19459,1.12462,1.95451,1.46712,0.008614,0.008614,0.008614
30,6701.85,1.01308,2.07284,1.44124,0.53361,0.40227,0.33279,0.22309,1.10512,1.91041,1.45487,0.0085645,0.0085645,0.0085645
31,6846.31,1.01491,2.07938,1.44113,0.55659,0.35254,0.31514,0.20475,1.10496,1.90358,1.45634,0.008515,0.008515,0.008515
32,6991.07,1.00909,2.05308,1.44065,0.57098,0.30145,0.29601,0.19044,1.08251,1.88696,1.43592,0.0084655,0.0084655,0.0084655
33,7134.05,1.01509,2.02519,1.43953,0.6008,0.31683,0.33258,0.21687,1.06818,1.8686,1.42214,0.008416,0.008416,0.008416
34,7281.74,1.01018,2.0203,1.4382,0.5501,0.33724,0.31396,0.2024,1.0586,1.84379,1.41725,0.0083665,0.0083665,0.0083665
35,7425.06,0.99099,2.00516,1.42178,0.6552,0.31714,0.32583,0.20669,1.05025,1.80859,1.41296,0.008317,0.008317,0.008317
36,7571.58,0.98214,1.97503,1.41725,0.63121,0.30075,0.33468,0.22008,1.05011,1.84677,1.41595,0.0082675,0.0082675,0.0082675
37,7717.56,0.98293,1.97347,1.41723,0.59857,0.32578,0.34609,0.24003,1.03495,1.80283,1.39746,0.008218,0.008218,0.008218
38,7859.63,0.976,1.95525,1.40888,0.59786,0.38044,0.34134,0.22497,1.02717,1.79418,1.39688,0.0081685,0.0081685,0.0081685
39,8006.64,0.97519,1.93403,1.40897,0.65516,0.36888,0.37542,0.23782,1.00719,1.77058,1.37388,0.008119,0.008119,0.008119
40,8148.98,0.97133,1.93595,1.40968,0.63801,0.32649,0.33892,0.23336,0.99434,1.72424,1.35514,0.0080695,0.0080695,0.0080695
41,8292.87,0.96534,1.93011,1.40356,0.64952,0.35055,0.36146,0.2402,1.01856,1.72253,1.38417,0.00802,0.00802,0.00802
42,8437.74,0.96605,1.90323,1.4011,0.61689,0.36512,0.35245,0.24303,0.99268,1.75853,1.35434,0.0079705,0.0079705,0.0079705
43,8578.93,0.95253,1.88952,1.39352,0.62606,0.38002,0.37846,0.25866,0.99663,1.70909,1.35608,0.007921,0.007921,0.007921
44,8725.52,0.95375,1.87405,1.39344,0.61647,0.40958,0.38184,0.2596,0.99223,1.68048,1.3595,0.0078715,0.0078715,0.0078715
45,8867.29,0.95647,1.85888,1.38992,0.6067,0.4047,0.38637,0.25081,0.9891,1.68718,1.34974,0.007822,0.007822,0.007822
46,9013.03,0.92875,1.82638,1.37165,0.633,0.38126,0.37475,0.25603,0.96664,1.67211,1.33603,0.0077725,0.0077725,0.0077725
47,9156.57,0.93539,1.84517,1.38071,0.65431,0.38784,0.39194,0.26125,0.96221,1.66605,1.33348,0.007723,0.007723,0.007723
48,9299.69,0.9324,1.82256,1.37791,0.71096,0.4153,0.44583,0.29033,0.94779,1.61533,1.32354,0.0076735,0.0076735,0.0076735
49,9445.94,0.93298,1.81502,1.37031,0.64285,0.40712,0.39557,0.27774,0.93287,1.61402,1.31073,0.007624,0.007624,0.007624
50,9589.08,0.92547,1.79524,1.36739,0.66369,0.42991,0.40693,0.28035,0.92614,1.60972,1.30429,0.0075745,0.0075745,0.0075745
51,9734.4,0.93105,1.80688,1.3758,0.65718,0.4131,0.41528,0.28193,0.92334,1.58266,1.30093,0.007525,0.007525,0.007525
52,9879.39,0.91726,1.78684,1.36711,0.63405,0.41196,0.43189,0.30087,0.92295,1.58721,1.30523,0.0074755,0.0074755,0.0074755
53,10021.8,0.92266,1.76761,1.36842,0.65044,0.41672,0.40923,0.29329,0.92529,1.58707,1.30265,0.007426,0.007426,0.007426
54,10168.8,0.90889,1.75862,1.35804,0.6815,0.41334,0.43086,0.2957,0.92919,1.57714,1.30737,0.0073765,0.0073765,0.0073765
55,10310.2,0.90776,1.75064,1.35473,0.68937,0.41843,0.42863,0.2985,0.91612,1.57191,1.29624,0.007327,0.007327,0.007327
56,10454,0.90987,1.75341,1.3604,0.69155,0.41205,0.42704,0.29206,0.91278,1.55395,1.2924,0.0072775,0.0072775,0.0072775
57,10597.4,0.90204,1.73014,1.35124,0.62623,0.46461,0.42358,0.28966,0.90998,1.56191,1.28871,0.007228,0.007228,0.007228
58,10739.5,0.89851,1.73405,1.35501,0.63486,0.46028,0.43651,0.29628,0.90749,1.5535,1.28576,0.0071785,0.0071785,0.0071785
59,10885.8,0.89363,1.71878,1.34207,0.63253,0.46322,0.45257,0.31419,0.90328,1.53417,1.28192,0.007129,0.007129,0.007129
60,11028.7,0.89308,1.73034,1.34661,0.69968,0.43659,0.44956,0.3071,0.89411,1.51797,1.27928,0.0070795,0.0070795,0.0070795
61,11173.7,0.893,1.70417,1.34283,0.66539,0.45568,0.44852,0.3094,0.89173,1.50831,1.27563,0.00703,0.00703,0.00703
62,11319,0.887,1.70623,1.34451,0.64343,0.49138,0.4618,0.31848,0.88488,1.51439,1.26728,0.0069805,0.0069805,0.0069805
63,11461.8,0.88784,1.68445,1.34107,0.7162,0.46809,0.47224,0.3269,0.88074,1.50701,1.26275,0.006931,0.006931,0.006931
64,11609.2,0.87768,1.67427,1.33377,0.73859,0.44876,0.4747,0.33282,0.88039,1.49981,1.26426,0.0068815,0.0068815,0.0068815
65,11751.9,0.87832,1.67332,1.33264,0.72905,0.46079,0.47523,0.32891,0.87724,1.49534,1.26179,0.006832,0.006832,0.006832
66,11896.9,0.87413,1.66949,1.3341,0.69001,0.48107,0.4721,0.33162,0.87367,1.48937,1.25812,0.0067825,0.0067825,0.0067825
67,12041.4,0.87427,1.6579,1.33289,0.67957,0.4865,0.47671,0.33237,0.87003,1.48288,1.25601,0.006733,0.006733,0.006733
68,12184.4,0.86778,1.63683,1.32165,0.69004,0.48603,0.47813,0.33979,0.86839,1.47583,1.25297,0.0066835,0.0066835,0.0066835
69,12333,0.87061,1.64503,1.32997,0.67062,0.48596,0.48305,0.3319,0.86418,1.47278,1.24936,0.006634,0.006634,0.006634
70,12474.2,0.86268,1.63384,1.32271,0.67821,0.48408,0.48391,0.34386,0.86279,1.46769,1.24745,0.0065845,0.0065845,0.0065845
71,12619.7,0.86107,1.62658,1.32315,0.68273,0.47346,0.4953,0.34905,0.85516,1.46325,1.23997,0.006535,0.006535,0.006535
72,12764.5,0.86343,1.61246,1.31706,0.71937,0.43216,0.49154,0.34743,0.85312,1.46207,1.23694,0.0064855,0.0064855,0.0064855
73,12908.2,0.85778,1.62304,1.31796,0.62102,0.50761,0.47901,0.33706,0.84919,1.46137,1.23142,0.006436,0.006436,0.006436
74,13052.8,0.8471,1.601,1.3106,0.68945,0.46603,0.49433,0.34757,0.84527,1.44961,1.22791,0.0063865,0.0063865,0.0063865
75,13194.6,0.84602,1.58561,1.30885,0.68852,0.48837,0.49809,0.3501,0.84456,1.44523,1.22737,0.006337,0.006337,0.006337
76,13339.4,0.84506,1.59568,1.30761,0.6745,0.50049,0.5039,0.3506,0.83992,1.44507,1.22336,0.0062875,0.0062875,0.0062875
77,13484.9,0.84318,1.58121,1.30604,0.67012,0.50878,0.49935,0.35406,0.83963,1.44057,1.2229,0.006238,0.006238,0.006238
78,13628.1,0.84049,1.57137,1.30518,0.67863,0.4946,0.50754,0.36073,0.83824,1.43436,1.2218,0.0061885,0.0061885,0.0061885
79,13774.1,0.83993,1.58054,1.30576,0.67367,0.4854,0.49533,0.36323,0.83524,1.42797,1.21942,0.006139,0.006139,0.006139
80,13916.4,0.83329,1.56065,1.29987,0.69719,0.46392,0.49692,0.36432,0.83339,1.42409,1.21858,0.0060895,0.0060895,0.0060895
81,14061.7,0.83319,1.54079,1.29811,0.70359,0.44156,0.49041,0.36406,0.83264,1.41855,1.2175,0.00604,0.00604,0.00604
82,14206.5,0.83514,1.55737,1.29834,0.70041,0.44788,0.49052,0.36317,0.82884,1.41432,1.21531,0.0059905,0.0059905,0.0059905
83,14350.2,0.81899,1.52916,1.28742,0.70082,0.44697,0.49099,0.36236,0.82584,1.40965,1.21285,0.005941,0.005941,0.005941
84,14496.7,0.82555,1.52843,1.29603,0.70806,0.45624,0.50257,0.36552,0.82308,1.4056,1.20975,0.0058915,0.0058915,0.0058915
85,14638.7,0.82557,1.52786,1.29326,0.71696,0.45052,0.50469,0.36616,0.82033,1.40058,1.20777,0.005842,0.005842,0.005842
86,14784.3,0.82532,1.52242,1.2878,0.71813,0.44913,0.50816,0.36809,0.81665,1.39733,1.20586,0.0057925,0.0057925,0.0057925
87,14928.1,0.81701,1.50532,1.28413,0.72971,0.44528,0.51265,0.37197,0.81457,1.39198,1.20456,0.005743,0.005743,0.005743
88,15072.4,0.82258,1.50706,1.2926,0.69848,0.4394,0.50205,0.37214,0.81177,1.38595,1.20224,0.0056935,0.0056935,0.0056935
89,15218.4,0.81725,1.50559,1.28726,0.67686,0.45502,0.50307,0.37338,0.80919,1.38259,1.20065,0.005644,0.005644,0.005644
90,15361,0.81841,1.49393,1.28472,0.71925,0.43305,0.50432,0.3719,0.80714,1.38061,1.19896,0.0055945,0.0055945,0.0055945
91,15506.3,0.81314,1.48548,1.27838,0.71382,0.43378,0.50677,0.3759,0.80503,1.37563,1.19759,0.005545,0.005545,0.005545
92,15651,0.80757,1.47741,1.27568,0.66264,0.47246,0.50668,0.3763,0.80302,1.37154,1.19637,0.0054955,0.0054955,0.0054955
93,15792.9,0.80354,1.47427,1.27816,0.67564,0.48498,0.51892,0.3792,0.80124,1.37033,1.19455,0.005446,0.005446,0.005446
94,15940.1,0.80187,1.4756,1.27365,0.67648,0.48219,0.5199,0.38043,0.80052,1.36775,1.19351,0.0053965,0.0053965,0.0053965
95,16081.8,0.79728,1.46947,1.26949,0.67831,0.48241,0.52145,0.38542,0.80002,1.36455,1.1927,0.005347,0.005347,0.005347
96,16228.6,0.79748,1.4645,1.27104,0.6703,0.47626,0.51284,0.38579,0.79957,1.36155,1.19238,0.0052975,0.0052975,0.0052975
97,16371.1,0.79533,1.46545,1.26916,0.67949,0.46973,0.51242,0.3863,0.79863,1.35775,1.19135,0.005248,0.005248,0.005248
98,16515.9,0.79435,1.44598,1.27114,0.66982,0.47585,0.51399,0.39052,0.7974,1.35429,1.1904,0.0051985,0.0051985,0.0051985
99,16663.1,0.79644,1.46058,1.26926,0.66952,0.47532,0.5142,0.38921,0.79538,1.34905,1.18892,0.005149,0.005149,0.005149
100,16805,0.78826,1.44642,1.26469,0.67116,0.47601,0.51545,0.3924,0.79404,1.34465,1.18841,0.0050995,0.0050995,0.0050995
101,16950.5,0.78337,1.43752,1.26251,0.70027,0.45131,0.51582,0.38906,0.79379,1.34206,1.18769,0.00505,0.00505,0.00505
102,17093.7,0.78658,1.43224,1.26462,0.68145,0.46958,0.5157,0.3886,0.79155,1.33993,1.18713,0.0050005,0.0050005,0.0050005
103,17236.9,0.77366,1.40766,1.25188,0.69362,0.45709,0.51728,0.38901,0.79024,1.33782,1.18626,0.004951,0.004951,0.004951
104,17381.4,0.7837,1.42298,1.2585,0.69724,0.45587,0.51787,0.38884,0.78949,1.33417,1.18586,0.0049015,0.0049015,0.0049015
105,17523.7,0.78031,1.41135,1.25787,0.71322,0.44951,0.51959,0.39246,0.78776,1.33381,1.18459,0.004852,0.004852,0.004852
