epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.544,1.48674,3.92516,1.7213,0.69138,0.05123,0.03424,0.01457,1.71238,3.30634,1.96458,0.0700196,0.00333115,0.00333115
2,288.796,1.41221,3.317,1.70616,0.45729,0.0869,0.04445,0.02079,1.68015,3.0517,1.97592,0.0399866,0.0066315,0.0066315
3,426.039,1.47296,3.15709,1.77189,0.36764,0.07656,0.02978,0.01199,1.87061,3.4307,2.16431,0.00992064,0.00989884,0.00989884
4,561.96,1.50624,3.08654,1.80913,0.3763,0.06432,0.04254,0.01811,1.76105,3.03643,2.04429,0.0098515,0.0098515,0.0098515
5,700.893,1.42578,2.94967,1.75958,0.21496,0.08221,0.04207,0.01917,1.70932,3.02712,1.96463,0.009802,0.009802,0.009802
6,839.191,1.37879,2.85088,1.72289,0.33005,0.10425,0.06789,0.03402,1.57693,2.82808,1.9041,0.0097525,0.0097525,0.0097525
7,975.862,1.33454,2.77632,1.6799,0.3973,0.08556,0.06166,0.03266,1.55115,2.86547,1.85248,0.009703,0.009703,0.009703
8,1112.55,1.30225,2.69854,1.65969,0.32855,0.10352,0.07053,0.03906,1.50037,2.74006,1.78724,0.0096535,0.0096535,0.0096535
9,1246.41,1.26499,2.65988,1.63766,0.36395,0.10036,0.08707,0.04932,1.47086,2.63618,1.78366,0.009604,0.009604,0.009604
10,1384.09,1.25256,2.6149,1.6212,0.45582,0.14107,0.10336,0.05907,1.4099,2.57186,1.72245,0.0095545,0.0095545,0.0095545
11,1521.86,1.22845,2.56233,1.60077,0.48318,0.12726,0.10558,0.05566,1.41743,2.5433,1.72548,0.009505,0.009505,0.009505
12,1656.64,1.21031,2.53689,1.59006,0.44843,0.17592,0.12828,0.08415,1.35601,2.50825,1.69826,0.0094555,0.0094555,0.0094555
13,1795.32,1.20342,2.50152,1.58326,0.53273,0.14595,0.12489,0.07354,1.35066,2.45034,1.67195,0.009406,0.009406,0.009406
14,1932.09,1.1648,2.45716,1.56348,0.44654,0.15139,0.10384,0.0592,1.37709,2.51416,1.67791,0.0093565,0.0093565,0.0093565
15,2069.22,1.16749,2.43468,1.55983,0.51763,0.166,0.14309,0.08076,1.31099,2.40734,1.63386,0.009307,0.009307,0.009307
16,2205.59,1.14831,2.4057,1.54266,0.37786,0.17825,0.13789,0.08043,1.2959,2.3829,1.61715,0.0092575,0.0092575,0.0092575
17,2342.02,1.13154,2.37018,1.52549,0.48025,0.19153,0.1807,0.10865,1.28965,2.32748,1.60581,0.009208,0.009208,0.009208
18,2479.57,1.13508,2.3669,1.53286,0.40629,0.17185,0.1478,0.09054,1.25151,2.27102,1.58167,0.0091585,0.0091585,0.0091585
19,2616.96,1.11919,2.32782,1.51946,0.58619,0.15497,0.1566,0.09555,1.24794,2.26332,1.56764,0.009109,0.009109,0.009109
20,2753.33,1.10476,2.31066,1.51048,0.50317,0.19483,0.17081,0.10658,1.22227,2.25619,1.55114,0.0090595,0.0090595,0.0090595
21,2888.3,1.10626,2.27325,1.50923,0.53724,0.16711,0.16389,0.10093,1.22748,2.19383,1.55674,0.00901,0.00901,0.00901
22,3024.02,1.08734,2.26427,1.49747,0.34694,0.23795,0.18048,0.11523,1.18452,2.15673,1.52349,0.0089605,0.0089605,0.0089605
23,3160.1,1.08524,2.234,1.49265,0.6034,0.19654,0.23178,0.14228,1.20346,2.13058,1.53414,0.008911,0.008911,0.008911
24,3295.97,1.07401,2.2076,1.48719,0.56136,0.20075,0.22164,0.14229,1.16753,2.05762,1.50535,0.0088615,0.0088615,0.0088615
25,3431.65,1.06664,2.19245,1.47929,0.58967,0.25272,0.27358,0.17702,1.17133,2.01441,1.49937,0.008812,0.008812,0.008812
26,3569.08,1.05909,2.1544,1.47186,0.5963,0.24487,0.26739,0.16563,1.14185,1.98822,1.4786,0.0087625,0.0087625,0.0087625
27,3705.55,1.04186,2.13549,1.46028,0.52998,0.32069,0.3038,0.19447,1.13013,1.97665,1.47877,0.008713,0.008713,0.008713
28,3839.81,1.0422,2.12246,1.45867,0.61399,0.23394,0.29198,0.18842,1.11782,1.95288,1.46758,0.0086635,0.0086635,0.0086635
29,3975.11,1.035,2.10083,1.45739,0.62476,0.25507,0.29393,0.19065,1.11806,1.89871,1.46516,0.008614,0.008614,0.008614
30,4111.45,1.01826,2.07444,1.44342,0.57937,0.38673,0.33308,0.21148,1.10967,1.91559,1.46342,0.0085645,0.0085645,0.0085645
31,4248.03,1.01969,2.09107,1.44739,0.67066,0.3184,0.33528,0.21745,1.10373,1.87261,1.44918,0.008515,0.008515,0.008515
32,4383.62,1.01618,2.05957,1.44188,0.57727,0.30233,0.29374,0.18096,1.09648,1.86228,1.43976,0.0084655,0.0084655,0.0084655
33,4517.68,1.012,2.01978,1.43225,0.57835,0.32138,0.3315,0.22653,1.0674,1.85882,1.42653,0.008416,0.008416,0.008416
34,4656.2,1.01173,2.02739,1.43516,0.56058,0.34051,0.34362,0.2363,1.05131,1.79837,1.41378,0.0083665,0.0083665,0.0083665
35,4792.42,1.00236,2.01578,1.42634,0.51613,0.40233,0.34139,0.23656,1.05449,1.82176,1.40716,0.008317,0.008317,0.008317
36,4928.7,0.99203,1.98431,1.42282,0.62942,0.3485,0.35244,0.24742,1.04562,1.80003,1.40986,0.0082675,0.0082675,0.0082675
37,5064.34,0.98535,1.98851,1.41655,0.57706,0.39106,0.3587,0.23731,1.02664,1.7838,1.38727,0.008218,0.008218,0.008218
38,5197.89,0.98383,1.9508,1.41082,0.63276,0.37127,0.3671,0.24063,1.0106,1.76336,1.37498,0.0081685,0.0081685,0.0081685
39,5334.4,0.97969,1.9447,1.4134,0.62905,0.38328,0.37483,0.25918,1.01206,1.73934,1.3799,0.008119,0.008119,0.008119
40,5470.12,0.97611,1.93942,1.40832,0.68178,0.38956,0.39833,0.26687,1.00516,1.69596,1.36142,0.0080695,0.0080695,0.0080695
41,5604.59,0.97354,1.94329,1.40684,0.63565,0.36235,0.37089,0.25443,0.99996,1.7281,1.36001,0.00802,0.00802,0.00802
42,5743.04,0.97102,1.91169,1.40658,0.57346,0.41691,0.37466,0.25149,0.9807,1.69192,1.33993,0.0079705,0.0079705,0.0079705
43,5879.39,0.95504,1.89012,1.39164,0.66113,0.41192,0.39926,0.27887,0.96883,1.63707,1.33478,0.007921,0.007921,0.007921
44,6015.82,0.9578,1.88301,1.39328,0.64676,0.41252,0.40251,0.28135,0.97242,1.66117,1.33902,0.0078715,0.0078715,0.0078715
45,6152.07,0.95739,1.86042,1.39461,0.69666,0.40577,0.40369,0.27391,0.96862,1.64249,1.33511,0.007822,0.007822,0.007822
46,6287.72,0.93752,1.84186,1.37827,0.69168,0.37443,0.40276,0.27865,0.96231,1.61743,1.32882,0.0077725,0.0077725,0.0077725
47,6424.41,0.94019,1.84935,1.383,0.64197,0.41307,0.41694,0.28714,0.96638,1.59526,1.33368,0.007723,0.007723,0.007723
48,6560.14,0.93401,1.8351,1.37842,0.67554,0.40943,0.43283,0.29999,0.95448,1.58894,1.31099,0.0076735,0.0076735,0.0076735
49,6695.15,0.93632,1.82625,1.37204,0.66592,0.43617,0.42616,0.30586,0.94919,1.56581,1.31058,0.007624,0.007624,0.007624
50,6833.24,0.92886,1.80067,1.3687,0.72016,0.40365,0.42998,0.31353,0.94054,1.55635,1.30093,0.0075745,0.0075745,0.0075745
51,6969.4,0.93224,1.81879,1.37424,0.72338,0.39174,0.43415,0.31188,0.93123,1.54793,1.29525,0.007525,0.007525,0.007525
52,7106.98,0.92273,1.79136,1.36868,0.70322,0.42656,0.44924,0.30345,0.93345,1.54701,1.30021,0.0074755,0.0074755,0.0074755
53,7241.49,0.92412,1.77514,1.36711,0.67006,0.41646,0.41948,0.28832,0.92661,1.52931,1.29255,0.007426,0.007426,0.007426
54,7376.46,0.9117,1.76997,1.35837,0.7279,0.39677,0.44562,0.31169,0.91842,1.51883,1.28679,0.0073765,0.0073765,0.0073765
55,7514.27,0.91369,1.76189,1.35723,0.74414,0.42991,0.45759,0.31799,0.90944,1.51382,1.2823,0.007327,0.007327,0.007327
56,7651.01,0.90933,1.75351,1.35648,0.71187,0.43782,0.44978,0.32514,0.91274,1.50295,1.2865,0.0072775,0.0072775,0.0072775
57,7785.88,0.90113,1.73746,1.34955,0.7138,0.43699,0.45784,0.32993,0.90261,1.49597,1.27874,0.007228,0.007228,0.007228
